4;1;850000;X5419
6;1;350000;X5419
3;1;1200000;A1104
4;1;850000;F2247
7;1;600000;F2247
6;1;350000;D3913
4;1;850000;P4074
5;1;300000;K7268
7;1;600000;S2952
5;1;300000;S2952
6;1;350000;S2952
1;1;250000;D3878
3;1;1200000;D3878
5;1;300000;D3878
5;1;300000;E7339
7;1;600000;E7339
22;1;350000;P3551
24;1;900000;P3551
26;1;400000;P3551
28;1;300000;P3551
30;1;450000;P3551
32;1;320000;P3551
34;1;950000;P3551
36;1;850000;P3551
38;1;310000;P3551
40;1;500000;P3551
42;1;400000;P3551
44;1;850000;P3551
46;1;950000;P3551
48;1;600000;P3551
1;1;250000;Q3025
3;1;1200000;Q3025
7;1;600000;Q3025
6;1;350000;Q3025
5;1;300000;H1079
7;1;600000;H1079
1;1;250000;S8543
3;1;1200000;S8543
5;1;300000;S8543
7;1;600000;S8543
9;1;400000;S8543
4;1;850000;C9077
6;1;350000;C9077
7;1;600000;C9077
